                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     62,                 0.6888,                 0.3468,                0.47329,                 1.0166,                0.97883,                0.47342,                0.50889,                0.43819,                0.97963,                0.47555,                0.50944,                 0.4231,                0.63082,                0.37133,                 0.3557,                 1.0505,               0.003961,               0.003961,               0.003961
                     63,                0.69945,                0.34596,                0.47769,                  1.018,                0.97891,                0.47415,                 0.5086,                0.43681,                0.97933,                0.47767,                0.50903,                0.42164,                0.62771,                0.37029,                0.34712,                 1.0517,               0.003862,               0.003862,               0.003862
                     64,                0.69495,                0.34785,                 0.4669,                 1.0221,                0.97777,                0.47507,                0.51905,                0.44662,                0.97973,                0.47701,                0.51957,                0.42982,                 0.6262,                0.36533,                0.34555,                 1.0444,               0.003763,               0.003763,               0.003763
                     65,                0.69096,                0.34317,                0.47178,                 1.0231,                0.93973,                0.48695,                0.54675,                0.46748,                0.98223,                0.47659,                0.54661,                0.45269,                0.62934,                0.36718,                0.34247,                 1.0465,               0.003664,               0.003664,               0.003664
                     66,                0.68696,                 0.3373,                0.46712,                 1.0166,                0.70742,                0.48944,                0.53067,                0.45809,                0.70873,                0.49092,                0.53145,                0.44138,                0.62555,                 0.3683,                0.35702,                 1.0419,               0.003565,               0.003565,               0.003565
                     67,                0.68828,                0.34417,                0.47052,                 1.0182,                0.74063,                0.54799,                0.53683,                0.46136,                0.73811,                 0.5435,                0.53751,                0.44462,                0.62597,                0.36492,                0.33677,                 1.0407,               0.003466,               0.003466,               0.003466
                     68,                0.69291,                0.34227,                0.47172,                 1.0212,                0.76531,                0.53251,                0.57868,                0.49388,                0.76585,                0.53313,                0.57914,                0.47443,                 0.6225,                 0.3645,                0.34286,                 1.0387,               0.003367,               0.003367,               0.003367
                     69,                 0.6855,                0.33698,                0.45584,                 1.0104,                0.73403,                0.50746,                0.54535,                 0.4662,                0.73501,                0.50852,                0.54621,                0.44675,                0.61865,                0.36556,                0.33299,                 1.0349,               0.003268,               0.003268,               0.003268
                     70,                0.68414,                0.33882,                0.46444,                  1.014,                0.74147,                0.53174,                 0.5325,                0.45849,                0.74279,                0.53322,                0.53382,                0.44204,                0.62142,                0.36542,                 0.3344,                 1.0362,               0.003169,               0.003169,               0.003169
                     71,                0.67836,                0.33456,                0.44739,                 1.0097,                0.76125,                0.53108,                0.55625,                0.47966,                0.76168,                0.53153,                0.55685,                0.46222,                0.61877,                0.36293,                0.33441,                 1.0348,                0.00307,                0.00307,                0.00307
                     72,                0.67678,                0.33207,                0.44788,                 1.0076,                0.74729,                0.52932,                0.56075,                0.47919,                0.74869,                0.53081,                0.56179,                 0.4603,                0.62066,                0.36399,                0.33799,                 1.0361,               0.002971,               0.002971,               0.002971
                     73,                0.67719,                0.33491,                0.44479,                 1.0107,                 0.7308,                0.52338,                0.55728,                0.48144,                 0.7329,                0.52675,                0.56097,                0.46743,                0.61588,                0.36412,                0.33443,                 1.0356,               0.002872,               0.002872,               0.002872
                     74,                 0.6705,                0.33843,                0.43972,                  1.007,                0.74627,                0.53146,                0.59043,                0.50724,                0.74686,                 0.5321,                0.59587,                0.48841,                0.62123,                0.36352,                0.32977,                 1.0363,               0.002773,               0.002773,               0.002773
                     75,                0.66436,                0.33562,                0.43619,                 1.0003,                0.74641,                 0.6018,                0.60556,                0.52243,                0.74698,                0.60244,                0.60903,                0.50264,                0.61836,                0.36396,                0.33851,                 1.0319,               0.002674,               0.002674,               0.002674
                     76,                0.66747,                0.33106,                0.43589,                 1.0025,                0.77841,                0.64553,                0.59446,                0.51551,                0.77759,                0.64527,                0.59528,                0.49382,                0.61491,                0.36142,                0.32637,                 1.0269,               0.002575,               0.002575,               0.002575
                     77,                0.66238,                0.33391,                0.43498,                0.99829,                0.52964,                0.60623,                0.59385,                 0.5111,                0.53092,                0.60768,                0.59901,                 0.4982,                0.61293,                0.36124,                0.32445,                 1.0308,               0.002476,               0.002476,               0.002476
                     78,                0.65752,                0.32678,                0.42766,                0.99451,                0.76683,                0.62164,                0.57513,                0.49766,                0.76831,                0.62326,                0.57594,                0.48003,                0.60864,                0.35963,                 0.3215,                 1.0247,               0.002377,               0.002377,               0.002377
                     79,                0.66352,                0.32499,                0.43389,                 1.0047,                0.77826,                0.62326,                0.59091,                0.50661,                0.77962,                0.62475,                 0.5925,                0.49128,                0.61513,                0.36105,                0.32155,                  1.031,               0.002278,               0.002278,               0.002278
                     80,                0.65457,                0.33279,                0.42264,                0.99636,                0.76899,                0.61192,                0.61086,                0.52854,                0.76977,                0.61278,                0.61141,                0.50861,                0.61014,                0.36193,                0.32014,                 1.0282,               0.002179,               0.002179,               0.002179
                     81,                0.65088,                0.32474,                 0.4216,                0.99578,                0.79144,                0.60101,                0.62792,                0.53887,                0.79243,                0.60209,                0.62881,                0.51895,                0.60865,                0.35801,                0.32069,                 1.0293,                0.00208,                0.00208,                0.00208
                     82,                0.65341,                0.32667,                0.42042,                0.98917,                0.76083,                0.64427,                0.60902,                0.52401,                0.76238,                0.64597,                0.61053,                0.50581,                0.61148,                0.35873,                0.31843,                 1.0258,               0.001981,               0.001981,               0.001981
